source	title	creators	year	publication	doi	url	attachments
S1	Liposomes containing dopamine entrapped in response to transmembrane ammonium sulfate gradient as carrier system for dopamine delivery into the brain of parkinsonian mice					https://hero.epa.gov/reference/3812665/	
S2	Dopamine-loaded blood exosomes targeted to brain for better treatment of Parkinson's disease	Mengke Qu et al.	2018	Journal of Controlled Release	10.1016/j.jconrel.2018.08.035	https://doi.org/10.1016/j.jconrel.2018.08.035	G:\Zotero\storage\RENGQQYP\j.jconrel.2018.08.035.pdf.pdf; G:\Zotero\storage\8U9NX2IC\j.jconrel.2018.08.035.pdf.pdf
S3	Niosomes for nose-to-brain delivery of bromocriptine: Formulation development, efficacy evaluation and toxicity profiling	V.G. Sita et al.	2020	Journal of Drug Delivery Science and Technology	10.1016/j.jddst.2020.101791	https://doi.org/10.1016/j.jddst.2020.101791	G:\Zotero\storage\VYUZFWFG\j.jddst.2020.101791.pdf.pdf
S4	Identification of large channels in cationic PEGylated cubosome nanoparticles by synchrotron radiation SAXS and Cryo-TEM imaging	Borislav Angelov et al.	2015	Soft Matter	10.1039/C5SM00169B	https://doi.org/10.1039/C5SM00169B	G:\Zotero\storage\FYJ8CGVH\Angelov et al. - 2015 - Identification of large channels in cationic PEGylated cubosome nanoparticles by synchrotron radiati.pdf; G:\Zotero\storage\IZYUQTCE\c5sm00169b.pdf.pdf
S5	Artificial Melanogenesis by Confining Melanin/Polydopamine Production inside Polymersomes	Claire E. Meyer et al.	2021	Macromolecular Bioscience	10.1002/mabi.202100249	https://doi.org/10.1002/mabi.202100249	
S6	Continuous preparation of bicelles using hydrodynamic focusing method for bicelle to vesicle transition	SungHak Choi et al.	2021	Micro and Nano Systems Letters	10.1186/s40486-021-00133-4	https://doi.org/10.1186/s40486-021-00133-4	G:\Zotero\storage\N4XDZ7NP\Choi et al. - 2021 - Continuous preparation of bicelles using hydrodynamic focusing method for bicelle to vesicle transit.pdf
S7	Fatty Acid-Based Coacervates as a Membrane-free Protocell Model	Lili Zhou et al.	2022	Bioconjugate Chemistry	10.1021/acs.bioconjchem.1c00559	https://doi.org/10.1021/acs.bioconjchem.1c00559	
S8	Porous Nanoparticle Supported Lipid Bilayers (Protocells) as Delivery Vehicles	Juewen Liu et al.	2009	Journal of the American Chemical Society	10.1021/ja808018y	https://doi.org/10.1021/ja808018y	G:\Zotero\storage\Q3NIEY9F\ja808018y.pdf.pdf
S9	Dynamic light scattering and transmission electron microscopy in drug delivery: a roadmap for correct characterization of nanoparticles and interpretation of results	Sergey K. Filippov et al.	2023	Materials Horizons	10.1039/D3MH00717K	https://doi.org/10.1039/D3MH00717K	G:\Zotero\storage\DUZXKBK9\Filippov et al. - 2023 - Dynamic light scattering and transmission electron microscopy in drug delivery a roadmap for correc.pdf
S10	Cryogenic transmission electron microscopy (cryo-TEM) for studying the morphology of colloidal drug delivery systems	Judith Kuntsche et al.	2011	International Journal of Pharmaceutics	10.1016/j.ijpharm.2011.02.001	https://doi.org/10.1016/j.ijpharm.2011.02.001	G:\Zotero\storage\7BAP8JEV\j.ijpharm.2011.02.001.pdf.pdf; G:\Zotero\storage\76U3FBNI\j.ijpharm.2011.02.001.pdf.pdf
S11	In vitro Development of Controlled-Release Nanoniosomes for Improved Delivery and Anticancer Activity of Letrozole for Breast Cancer Treatment	Saeedeh Ahmadi et al.	2022	International Journal of Nanomedicine	10.2147/IJN.S384085	https://doi.org/10.2147/IJN.S384085	G:\Zotero\storage\32B6Y8HE\Ahmadi et al. - 2022 - In vitro Development of Controlled-Release Nanoniosomes for Improved Delivery and Anticancer Activit.pdf
S12	Limitations of quantitative analysis - EDS					https://myscope.training/EDS_Limitations_of_quantitative_analysis	
S13	Iodine-Rich Polymersomes Enable Versatile SPECT/CT Imaging and Potent Radioisotope Therapy for Tumor in Vivo	Jinsong Cao et al.	2019	ACS Applied Materials &amp; Interfaces	10.1021/acsami.9b04294	https://doi.org/10.1021/acsami.9b04294	G:\Zotero\storage\UJPGX9IU\acsami.9b04294.pdf.pdf
S14	Unlocking the Potential of Niosomes: A Comprehensive Review	Punam V. Ritthe et al.	2024	Asian Journal of Pharmaceutical Research and Development	10.22270/ajprd.v11i3.1421	https://doi.org/10.22270/ajprd.v11i3.1421	G:\Zotero\storage\9RJX2AMV\Ritthe et al. - 2024 - Unlocking the Potential of Niosomes A Comprehensive Review.pdf
S15	Cubosomes in Drug Delivery—A Comprehensive Review on Its Structural Components, Preparation Techniques and Therapeutic Applications	Durgaramani Sivadasan et al.	2023	Biomedicines	10.3390/biomedicines11041114	https://doi.org/10.3390/biomedicines11041114	
S16	Formulating and Characterizing an Exosome-based Dopamine Carrier System	Burçak Yavuz et al.	2022	Journal of Visualized Experiments	10.3791/63624	https://doi.org/10.3791/63624	
S17	Liposome-Derived Nanosystems for the Treatment of Behavioral and Neurodegenerative Diseases: The Promise of Niosomes, Transfersomes, and Ethosomes for Increased Brain Drug Bioavailability	Patrícia C. Pires et al.	2023	Pharmaceuticals	10.3390/ph16101424	https://doi.org/10.3390/ph16101424	G:\Zotero\storage\LSRYY4ZT\Pires et al. - 2023 - Liposome-Derived Nanosystems for the Treatment of Behavioral and Neurodegenerative Diseases The Pro.pdf
