source	title	creators	year	publication	doi	url	attachments
S1	A revised glossary of terms most commonly used by clinical electroencephalographers and updated proposal for the report format of the EEG findings. Revision 2017	Nick Kane et al.	2017	Clinical Neurophysiology Practice	10.1016/j.cnp.2017.07.002	https://doi.org/10.1016/j.cnp.2017.07.002	
S2	American Clinical Neurophysiology Society's Standardized Critical Care EEG Terminology: 2021 Version	Lawrence J. Hirsch et al.	2021	Journal of Clinical Neurophysiology	10.1097/wnp.0000000000000806	https://doi.org/10.1097/wnp.0000000000000806	
S3	Prevalence of epileptiform electroencephalographic abnormalities in people without a history of seizures: A systematic review and meta‐analysis	Amir Aschner et al.	2024	Epilepsia	10.1111/epi.17864	https://doi.org/10.1111/epi.17864	
S4	Facilitation of epileptic activity during sleep is mediated by high amplitude slow waves	Birgit Frauscher et al.	2015	Brain	10.1093/brain/awv073	https://doi.org/10.1093/brain/awv073	
S5	Human interictal epileptiform discharges are bidirectional traveling waves echoing ictal discharges	Elliot H Smith et al.	2022	eLife	10.7554/elife.73541	https://doi.org/10.7554/elife.73541	
S6	Interictal high-frequency oscillations (100–500 Hz) in the intracerebral EEG of epileptic patients	Elena Urrestarazu et al.	2007	Brain	10.1093/brain/awm149	https://doi.org/10.1093/brain/awm149	
S7	Dynamic Interplay Between Wake Slow Waves and Epileptiform Discharges in the Epileptogenic Zone	Laurent Sheybani et al.	2025	Neurology	10.1212/wnl.0000000000214001	https://doi.org/10.1212/wnl.0000000000214001	
S8	A review of signal processing and machine learning techniques for interictal epileptiform discharge detection	Bahman Abdi-Sargezeh et al.	2024	Computers in Biology and Medicine	10.1016/j.compbiomed.2023.107782	https://doi.org/10.1016/j.compbiomed.2023.107782	
S9	Development of Expert-Level Automated Detection of Epileptiform Discharges During Electroencephalogram Interpretation	Jin Jing et al.	2020	JAMA Neurology	10.1001/jamaneurol.2019.3485	https://doi.org/10.1001/jamaneurol.2019.3485	
S10	Deep learning for robust detection of interictal epileptiform discharges	David Geng et al.	2021	Journal of Neural Engineering	10.1088/1741-2552/abf28e	https://doi.org/10.1088/1741-2552/abf28e	
S11	A Self-Adapting System for the Automated Detection of Inter-Ictal Epileptiform Discharges	Shaun S. Lodder and Michel J. A. M. van Putten	2014	PLoS ONE	10.1371/journal.pone.0085180	https://doi.org/10.1371/journal.pone.0085180	
S12	Automatic detection of interictal epileptiform discharges	Richard C. Burgess and John P. Turnbull	2003		10.1016/S1567-4231(03)03006-5	https://doi.org/10.1016/s1567-4231(03)03006-5	
S13	SpikeGUI: Software for rapid interictal discharge annotation via template matching and online machine learning	Jing Jin et al.	2014		10.1109/embc.2014.6944608	https://doi.org/10.1109/embc.2014.6944608	
S14	Interrater Reliability of Experts in Identifying Interictal Epileptiform Discharges in Electroencephalograms	Jin Jing et al.	2020	JAMA Neurology	10.1001/jamaneurol.2019.3531	https://doi.org/10.1001/jamaneurol.2019.3531	
S15	AiED: Artificial intelligence for the detection of intracranial interictal epileptiform discharges	Robert J. Quon et al.	2022	Clinical Neurophysiology	10.1016/j.clinph.2021.09.018	https://doi.org/10.1016/j.clinph.2021.09.018	
S16	Laminar organization of cellular microcircuits modulating human interictal epileptiform discharges	Alexander B. Silva et al.	2026	Nature Neuroscience	10.1038/s41593-026-02258-4	https://doi.org/10.1038/s41593-026-02258-4	G:\Zotero\storage\VGD3PLKE\Silva et al. - 2026 - Laminar organization of cellular microcircuits modulating human interictal epileptiform discharges.pdf
